data,milano_infected,roma_infected,napoli_infected,torino_infected,palermo_infected,genova_infected,bologna_infected,firenze_infected,bari_infected,catania_infected
2022-01-01,238.7654116917048,23.11153232982369,284.7238195249618,0.0,42.23324344166484,0.0,11.214432854209647,0.0,0.0,131.38833181677347
2022-01-02,381.2285831310659,23.11153232982369,326.5729381867448,98.49175607463272,43.89073892872927,0.0,43.160972984193215,0.0,76.77746718769336,178.16127475633556
2022-01-03,445.7274478013395,375.8525801621539,326.5729381867448,98.49175607463272,125.91844880683726,35.529556892881246,163.3055447701818,0.0,201.8437664449124,202.08744261163557
2022-01-04,806.4587200200485,613.393827908182,787.6312518766504,196.69751656446903,187.90362192908339,155.5514919655542,275.43135155059537,86.72576631004004,337.68435773969173,243.631371063899
2022-01-05,1230.913276647925,1057.9699610778098,913.6920094981016,567.4470641106964,450.2551608338766,311.5191797268201,354.86234092666916,116.9322255311349,504.99648991425533,243.631371063899
2022-01-06,1781.2217234294076,1686.9113556872273,1438.202819585027,888.8261002085303,450.2551608338766,379.0446746488765,495.8151993396408,205.9451265296085,589.879563646161,277.49180344002565
2022-01-07,2270.845909773391,2688.3497287241157,1921.9946875022042,1388.2133499748415,725.6781521028615,539.2072079950118,738.6154701172024,285.6887435297429,691.2066731096844,435.131398896132
2022-01-08,3382.3211949775796,4257.42620570276,2563.156763711723,2078.4291149901524,969.3884868399538,670.6630068666278,948.8092799950969,447.3095919005974,990.185302890468,579.9644112145854
2022-01-09,4900.525387287309,5807.340862658357,3611.0743809317987,2868.259314612905,1362.9729199817941,850.6518228704326,1277.1165904214176,757.4928580245783,1189.7698684531692,664.8442956192084
2022-01-10,6737.324428792752,8108.905561221482,5124.740903413831,3938.7095548113175,1632.7769932403953,1150.2083612548088,1661.7780243637715,1154.8339030879752,1573.3259846737647,816.8993178523087
2022-01-11,9553.690945989767,11084.906434853496,7016.199430293904,5281.776806940816,1980.909398423904,1481.3608605035893,2155.075265787269,1638.470701635192,2025.7708393746966,991.9231414345558
2022-01-12,13292.002770731693,14961.03376835905,9727.361872192814,7073.2548688824245,2416.9959169062236,2021.0546169910845,2844.9489093299003,2372.416828116682,2756.845245354411,1362.0698039045112
2022-01-13,17951.644342125142,19920.96563997385,12805.276155329817,9403.045732118257,3229.6000008611622,2770.4536244230094,3878.419734320838,3212.3879228801766,3585.5308076287006,1878.9402739827176
2022-01-14,23888.35884844338,26200.617927161627,16919.85807797397,12659.908280649452,4421.218585241842,3788.001799499954,5037.867274576055,4382.968736506265,4503.167655761434,2539.3019892918633
2022-01-15,31609.968233613985,34985.42744175023,22119.128119589033,16729.2178137856,5798.178927403849,5070.788331095986,6638.198562397807,5863.742489026544,5757.721621199656,3273.991469482087
2022-01-16,41344.358907518435,45758.09396025958,29246.401872397582,22137.743147251327,7597.249414116375,6712.303663596788,8745.446830442072,7655.400663115974,7465.1150874114555,4245.703777259143
2022-01-17,54143.433653309425,59544.25498532505,38118.85313347059,29007.553847398893,9834.78991772919,8908.66463160612,11483.847174213344,10029.852104804671,9720.542150124786,5553.285751016245
2022-01-18,71022.41796366774,77896.80981031062,50398.644554115264,38223.880736902516,12795.59292229676,11699.52244147329,15082.910852352463,13104.455953701934,12480.002799456037,7502.1215601284375
2022-01-19,92259.76326472116,101863.26699777768,66114.93545316944,49919.52476539834,16719.072089184472,15457.582566673673,19709.871399368432,17224.941992285305,16047.58962947881,9802.903758584569
2022-01-20,121027.00962347357,132701.16514973895,86635.09457139262,65295.74497261816,21976.512531875458,20333.062175128667,25832.631058366333,22748.95394975139,20813.913155863993,13176.783626380398
2022-01-21,156767.2452925953,172365.4215522651,113322.3717833716,85062.08024355867,29368.006517968897,26565.573631021856,33587.309837273184,29710.361266928237,27193.539277096075,17203.49443980666
2022-01-22,202234.7518758019,225283.9383077144,149262.83189752878,110904.11086896008,38170.4207518499,34522.2975664544,43858.062301509606,38558.85785578306,35113.15300705807,22942.820329631904
2022-01-23,260480.41909008316,291336.8684141352,195158.09962595574,143659.16262356567,49325.20714454436,45223.58545275018,56827.20277800314,50332.74833458731,46008.96518900577,30079.326165283397
2022-01-24,335123.85832605144,376454.49897956784,252306.63385933003,186271.91941955074,64285.0983999222,59020.03219838401,73765.31943944175,65410.29699608522,60660.31571691701,39190.253320763164
2022-01-25,427883.9830231509,481647.6338119028,322273.4259897014,239791.92416104372,83311.15554620921,76459.47602857956,95044.73923764445,84700.88172900805,78121.1595363951,51025.5547118728
2022-01-26,540310.2778044951,611763.7990406038,413945.1517649459,306832.3496510882,109084.83708601663,98511.1310181751,121650.49661322864,108838.17413384313,101787.92952311337,66603.27530011068
